-47 144.62084909625894
-45.0 143.41193778898696
-43.0 146.03783102143757
-41.0 152.92854140395124
-39.0 160.5241698192518
-37.0 169.72425388818831
-35.0 179.45271122320304
-33.0 189.3837746952501
-31.0 197.9693148381673
-29.0 205.75451870533837
-27.0 212.02900378310216
-25.0 216.54939050021017
-23.0 220.80916351408155
-21.0 224.83900798654898
-19.0 229.16435477091215
-17.0 231.37242538881884
-15.0 233.41488020176544
-13.0 231.85245901639345
-11.0 231.1996637242539
-9.0 229.99411517444304
-7.0 226.5031525851198
-5.0 224.08532997057588
-3.0 221.22656578394285
-1.0 216.7091214796133
1.0 212.4682639764607
3.0 207.6078184110971
5.0 202.4939050021017
7.0 197.88230348886086
9.0 193.46279949558638
11.0 191.09920134510298
13.0 188.5241698192518
15.0 188.31525851197983
17.0 188.18957545187052
19.0 187.43295502311895
21.0 187.5825977301387
23.0 186.33585540142917
25.0 184.42875157629257
27.0 180.24800336275746
29.0 175.46784363177807
31.0 171.43295502311895
33.0 167.19588062211014
35.0 163.78562421185373
37.0 159.66834804539724
39.0 155.47204707860445
41.0 150.06599411517445
43.0 146.40184951660362
45.0 143.88146279949558
