-47 136.86042944785277
-45.0 136.22699386503066
-43.0 137.64161554192228
-41.0 140.75408997955012
-39.0 146.3353783231084
-37.0 151.68456032719837
-35.0 157.95296523517382
-33.0 166.16564417177915
-31.0 175.5081799591002
-29.0 185.09815950920245
-27.0 192.63292433537833
-25.0 200.98210633946832
-23.0 208.08026584867076
-21.0 211.42177914110428
-19.0 212.25306748466258
-17.0 212.0357873210634
-15.0 212.83486707566462
-13.0 211.96114519427402
-11.0 213.8844580777096
-9.0 213.80368098159508
-7.0 213.2663599182004
-5.0 212.5219836400818
-3.0 210.810327198364
-1.0 207.61605316973416
1.0 205.76840490797545
3.0 203.69989775051124
5.0 201.18558282208588
7.0 200.33179959100204
9.0 198.12423312883436
11.0 197.51329243353783
13.0 195.61503067484662
15.0 190.47188139059304
17.0 187.71012269938652
19.0 184.4284253578732
21.0 179.67075664621677
23.0 174.3241308793456
25.0 170.9560327198364
27.0 168.29498977505114
29.0 167.08179959100204
31.0 164.66359918200408
33.0 161.34202453987731
35.0 158.68456032719837
37.0 154.07004089979552
39.0 148.87883435582822
41.0 143.60838445807772
43.0 139.5245398773006
45.0 140.71881390593047
